post_number,date,type,caption,caption_length,likes,comments,video_views,engagement,url
11,2026-03-14 09:15:38,Video,"Remy currently can’t speak, but she already knows how to call me Ben and not Dadda to annoy me 😂👍🏻",98,97,5,8708,102,https://www.instagram.com/p/DV3AMX0CLdX/
12,2026-03-13 08:19:23,Sidecar,"Friday 10th April | Manchester | @marc_uncharted 

👉🏻 Leadership
👉🏻 Mindset
👉🏻 Growth

11 places available for this (for free) as per all the events this year, and this will be a HUGE breakthrough day

DM - “Leadership” to join the group and take a spot

I’ve asked Marc to go over two sessions which I’ve actually been going through myself in the last 12 months

👉🏻 Transitioning from your 1st mountain to 2nd mountain

Ill be covering the good, the bad and the ugly side to leadership and how to overcome obstacles along the way

Finishing with a direct breakthrough group sessions to solve any core problems you have within these domains 👊🏻

First come, first served guys and girls - DM “Leadership”

We are also hitting the Yorkshire 3 peaks on the Saturday 11th April if anyone fancies that also",800,72,22,0,94,https://www.instagram.com/p/DV0VKVICJY9/
13,2026-03-17 18:11:19,Video,"Had a wobble yesterday, worst anxiety I’ve had in many years and I was the epitome of this video

It happens to everyone - you just need to acknowledge it and understand it…

You can’t win living in a place of reactivity, you will burn shit down faster than you can ever rebuild it 

This video won’t get mad views but wow it’s the most important variable of everything 

You might feel reactive because you don’t have direction… if that’s the case, you know where we are!

And we actually understand human behaviour so we don’t judge based on where you are at right now 

We work together to improve it 👊🏻",606,32,2,378,34,https://www.instagram.com/p/DV_rvkTCH-m/
14,2026-03-24 09:57:09,Video,"You won’t love this all of the time, stop thinking you should be 😂

There’s a big difference between fun, enjoyment, and passion 

If you’re passionate about something then you can push through the pain that it puts on you 

If you think that this is going to be fun and enjoyable every single day, you’re in for a reality check 

There are extensive, long periods of time where you will go through nothing other than self-doubt 

You will fear the repercussions of things that potentially might not work 

You will go through an identity crisis the higher that you go through these levels 

Which is why I’ll come back to the point at the start around passion 

A lot of you don’t even enjoy your offers 

A lot of you don’t even enjoy your niche 

A lot of you don’t even enjoy creating content 

A lot of you don’t even know why you are even doing this 

No wonder you’re fucking burnt out, falling out with it and constantly hot and cold 

Don’t get lost with all this high-tech AI stuff and nail the basics of what you need to scale a business 

FYI we can’t help you with both above",1088,11,0,139,11,https://www.instagram.com/p/DWQ0lzqCKsE/
15,2026-03-12 17:55:00,Video,"Is this my life now?

Start up business owners - it will be awful for you but it doesn’t last forever when you start building a team.

Scaling business owners - you can design your own life, do you actually see that? Fuck the money (and you will earn more when you have space to innovate) 

Normal 9-5 jobs - you might need to answer this question sooner to see what else it is from your life you want and need.

Mums - you are the elite beyond elite, but it doesn’t last forever and speak to who you need to speak to in order to make things better 

Dads - what’s that dream you once had? Why did you give up on it - your wife and kids need a man filled with passion, not regret.

Least favourite parent - fuck knows on this one but I’m sure you can give me some good advice 😂",777,50,2,1016,52,https://www.instagram.com/p/DVyx6KLCFnp/
16,2026-03-14 16:08:13,Sidecar,"“With power comes great responsibility” aka read all of these slides before you fully artificially and unintentionally shaft yourself

Supercharge what you CURRENTLY do and deliver on, stepping out of your scope of practice “because you can” could become very costly in many different areas",290,38,3,0,41,https://www.instagram.com/p/DV3vm98COo1/
17,2026-03-12 08:18:48,Sidecar,"“You are operating in a deficit of your own claims vs conviction, no wonder you aren’t making progress”

Getting things done has never been so easy with AI now

But it will requires effort, patience and iterations

It frustrates me when I see someone say they will do something 

And, then they don’t follow through with it

You are cheating yourself and nobody else

When you start executing the small things at 100%

It becomes a snowball effect, it may start small but it picks up speed and size quickly 

But, if you half arse doing that first ball… it will never take shape

Today’s task ➡️ do everything on your to do list, add some extras on and do that as well, follow your training program and diet exactly, drink enough water and delivery on what you said you would do for other people

Watch how you bounce out of bed tomorrow",837,109,6,0,115,https://www.instagram.com/p/DVxwTGeCA4E/
18,2026-03-17 08:36:31,Image,"If something isn’t working, more volume won’t fix it

That’s the law of diminishing returns - at some point the strategy itself has to change

Insanity principle - “doing the same thing and expecting a different return”

Then you need to define what your version of “working” actually is…

If something is damaging your reputation, your profits and your fulfilment beyond that of monetary value - then IMO, that’s fucked

Then you may say… “but I don’t have time to look at different strategies”

Yes you do, you have AI now

We don’t marry methods or push circle businesses into square holes so if you are in this spot and you want to chat, my DMs are always open",664,21,0,0,21,https://www.instagram.com/p/DV-qQuoCDaZ/
19,2026-03-13 17:47:47,Sidecar,"If you believe you’re a flawless person, you may well be a narcissist 😂

Or, you may be 100% centralised to yourself - in which I have never met a human who is 

Fears, flaws and insecurities come in many shapes and sizes

Yes, you can address them and discover more of an understanding for yourself

But they will still be there and you need to be able to still take action regardless 

This often means being uncomfortable - especially in an age of digital marketing and personal branding

Here are a few of mine - they are still there, the only difference is I’ve worked past them enough times to care a lot less",615,76,3,0,79,https://www.instagram.com/p/DV1WNX-iGdm/
20,2026-03-16 08:30:00,Sidecar,"Golden target month achieved, client volume up, lifetime value up

@coachsaundersfitz is a bloke that genuinely cares, in all the best ways

Saunders has aligned to what we do since day one

He knows I won’t stop innovating

He knows I’ll rip it down and re-build

And, he makes it his mission to constantly keep up

Alongside adding feedback and input which I value massively

Absolutely buzzing with his progression in the last 6 months

And I’m sure he will continue to do the same in the next 6 onwards",506,10,1,0,11,https://www.instagram.com/p/DVvQQLxCIbU/
21,2025-06-28 17:00:00,Sidecar,"I don’t really have the words for a video for this…

All I can say is that finishing this book and experiencing Chapter 10 - Finding Peace & Purpose and feeling the best fatherhood has to give… lit a fire of hunger, resilience and relentlessness that I don’t think I’ve experienced since the starting point of these chapters… 15 years ago.

Orders available with the link in my bio 📚

Here’s a taste of the book…

“As I’m writing this, I’m a multi-7 figure business owner, husband, father, team leader. I am happy, I have freedom and purpose, and that hasn’t been an easy road. So despite how open I am about my previous struggles throughout the book, I want you to know that the journey I’m about to take you on—through both the crushing lows and exhilarating highs, has led me to a place where life finally makes sense. Where the chaos has order. Where the daily battles have purpose. Where I am winning, when for a very long time, I didn’t know how long I’d be able to maintain participation.

This isn’t just another business book (even though there are 154 key actionable’s).

This isn’t just another self-help manifesto (despite there being 96 life lesson’s).

This is the raw, unfiltered story of how I discovered what I call “The 50/50 Rule”, the fundamental truth that success, fulfilment, and genuine impact come from mastering two distinct but equally crucial domains: your inner world and your outer systems.

50% human. 50% machine.",1445,476,197,0,673,https://www.instagram.com/p/DLc7sdfIkLS/
22,2026-03-18 18:10:26,Video,"One of the biggest problems I’m seeing with business owners is them collecting AI tools

It’s almost like a brag of “have you seen this” “have you seen that” “are you doing this” “are you doing that”

X is better than Y

I personally hate ChatGpt - I’ll only use it for a few quick GPT tools

But if you love it, then thats absolutely fine

You need to focus on one system and maximising it, as most people (and myself) are still using a single platform at 0.00001% of it’s capability

I’ve been obsessed with Claude for the last 12 months (before it was cool), and I won’t be going anywhere else

Chat
Projects
CoWork
Code 

But you can do the same on many other platforms, but just stop jumping between subscriptions and shiny object syndrome

Maximise one, sign up to the pro plan and absolutely rinse it

It will change your life and business, like it has done for me

We’re about to hit EVO1000 with Claude inside our program, don’t miss it 👊🏻",948,18,1,439,19,https://www.instagram.com/p/DWCPdTmiOL6/
23,2026-03-08 18:16:46,Sidecar,Remy has also registered me as dad after 2 years and calls me Dadda 😂 what a week,81,40,0,0,40,https://www.instagram.com/p/DVohjQOiOz5/
24,2026-03-10 17:49:34,Video,"Open your eyes and look from an overview… information is no longer valuable, AI can do all of this and find all of this now

AI 👉🏻 speed, pace, execution, evolution, growth, development (it makes what was once impossible, now possible) - across everything 

Personal Brand 👉🏻 trust, connection, relatability, processors, thinking pathways, depth, creativity (literally just who you are and how you operate).

Before this, it was a game of information processing alone for most out there and just consider where this is going in the next 6-12 months

Which is why I pivoted my entire program into it 6 months ago+ ago and we are about to go through our second evolution on both",676,79,1,10911,80,https://www.instagram.com/p/DVtn60FiPYW/
25,2026-03-09 08:47:43,Sidecar,"Money is great, but scalability is more important

@collette_evans_photo 

Before —> chaos 

Current —> clarity

Scalability = operational efficiency

Strategy = live workshop performance

Sustainability = improved profit margins

If you nail those foundations, and do it properly…

Anything is possible in business

If it feels fucked = fix it, then scale it

Otherwise you’re scaling a fuckery

And, thats no fun for anyone… especially not the founder

Collette is a beast, she may be her own worst enemy at times

But the epitome of an entrepreneur all the same",564,21,3,0,24,https://www.instagram.com/p/DVqGvFJiN1I/
26,2026-03-11 08:25:49,Sidecar,"Online coaching and coaching in any sector will be destroyed by AI, if…

You have a generalist offer

You create generalist content

You have generalist results

You have generalist knowledge of your clients 

So if you’ve tried to cut loads of corners and haven’t done it right in the next 3-6 months+ you will feel it hard 

The GAP between the good and great will become bigger than ever - those who have built legacy businesses will excel 

You can build a specialist offer and program within seconds on AI now, it just depends on how much you care

Or you can be one of those online coaches who believes the world is owed to you and sit around waiting for it to figure itself out 🤷🏻‍♂️

It’s your for the taking, but you need to switch the fuck on now with it.",765,93,6,0,99,https://www.instagram.com/p/DVvMTrsCB-6/
27,2026-03-06 09:00:00,Sidecar,"17 ➡️ 91 clients + x10 revenue ✅

@connerlukewesley 

Started in the SmartScaling program, attacked it, did the work and reaped the words

Now, working 1-1 with my in TCC Titans program where we will build a different beast all together

Invested time, energy and money into charity work in his local areas

Asked to switch on the Christmas lights in his home town 

Asked to go into schools to speak about his journey

As I’ve said many times before

I don’t care who you are
I don’t care what you are
I don’t care who you’ve been

It’s about who you want to become

Council house massive, going large and fully loaded now

Proud of you pal",641,101,4,0,105,https://www.instagram.com/p/DViYTg1iK_C/
28,2026-03-04 08:58:48,Image,"Quick calls come under the same bracket as voice notes IMO

That intended 5 minute call ends up as 45 minutes, and what you were supposed to do in that 45 minutes gets put on the back burner (or doesn’t get done at all)

Now with AI the pace of the market is moving faster than it has ever been done before… pace is progression, for everything

Our AI consultant doesn’t even take live calls 😂 but I don’t think I’ll ever get to that point as call time = discovery time (the most important part)

Everything else in between needs to be efficient 🤷🏻‍♂️",551,96,9,0,105,https://www.instagram.com/p/DVdOM9hiBds/
29,2026-03-09 17:47:34,Video,"Evil has existed for 300,000 years

What has been revealed in these files is pure evil in every sense of the word - it’s disgusting

But I’m not going to tarnish an entire nation on the actions and behaviours of “higher power”

That higher power, moderate power and lower power has and will always produce evil

If you believe that evil doesn’t exist in other countries, especially places like Dubai - then you truly are ignorant

Great Britain, is still great - BECAUSE OF THE PEOPLE IN IT!.

It always has been, and always will be - BECAUSE OF THE PEOPLE IN IT.

Fuck what the government is doing.

Fuck what the royal family is doing.

IT’S ABOUT THE PEOPLE IN IT

Other than the small minority that spend every waking minute complaining on social media about anything they can

“Just fuck off… it’s that simple”

Or

What positive impact are you creating in your local community to “improve the state of it”? 🤔

What movement and mission are you on right now that is actually making a different to other people? 🤔

Probably none - because it’s easier to latch onto negative narratives and propaganda than it is to change your own circumstances and make a positive impact with what you can actually control 👍🏻",1212,107,13,2525,120,https://www.instagram.com/p/DVqDNi2N1i0/
30,2026-03-07 13:45:27,Video,"You had an excuse before, we all had an excuse before

Now there is no excuse

Anything is possible, for anyone out there - if they are open minded with adopting to AI

When was the last time you were on top of your to do list?

When was the last time you were trying new things?

When was the thing time you were finding 1% improvements rather than just drowning?",364,16,2,364,18,https://www.instagram.com/p/DVldlOIiIjy/
31,2026-03-06 16:22:41,Video,"Drop the entitled attitude, stop expecting shit to be easy just because of social media and AI now

WHY and HOW are you going to ensure you are;

Persistent

Perseverant

> Through pain

> Through adversity

You can bounce back x10 faster now with AI

But, you need the right headache to do that

And, that comes back down to the foundations of…

Why are you even doing this",374,39,4,442,43,https://www.instagram.com/p/DVjKyQfiKUt/
32,2026-03-05 17:46:40,Video,"You’ve messaged every single person who follows you

Your entire audience has been exhausted

And now you’re wondering where the next client is coming from

This is what happens when all you do is top of funnel

You’re chasing views, virality and followers

And none of it’s converting

Because top of funnel gets attention

Middle of funnel gets trust

Without the middle, you’ve got nothing holding people there

No lead magnets, no proof, no call to actions

Nothing warming them up

You’re just pouring into a bottle with holes in it

You can have thousands of followers and still not make money

Stop running one without the other

Watch this to see how to structure it properly",683,90,13,10280,103,https://www.instagram.com/p/DVgvhHaiLkv/
33,2026-03-22 17:40:58,Sidecar,"I’ll let the slides do the talking on this one, I am so excited for tomorrow 🥷",78,107,14,0,121,https://www.instagram.com/p/DWMglQYCHK-/
34,2026-03-15 08:29:05,Sidecar,Happy Mother’s Day @staceyhawksworth_ & @juliehawksworth x,58,39,0,0,39,https://www.instagram.com/p/DV5f3EbCOAG/
35,2026-02-25 19:39:28,Sidecar,"“Rise from the ashes of your struggles - stronger, brighter, and unbreakable”

Cardiophylax (“heart protector”) original inspiration taken from the chest plate on gladiator.

Swipe through for the full breakdown.

Took an idea to @dannybirch.tattoo he turned it into a dream vision, and I couldn’t be any happier with it.

7 hours of incredible chat about life and business to top it off as well, amazing experience all around.

Oh and no I don’t care about your opinion of tattoos 😊",483,182,39,0,221,https://www.instagram.com/p/DVMWRVZjiG1/
36,2026-02-24 18:05:56,Video,"This is why you aren’t generating leads, better responses in DMs and more interactions

Nobody knows anything about you

All you are doing it trying to sell at them

People have had this for a decade now

LEAD WITH YOU

Inside my program, I call this arrow heading your personal brand

(Not the AI penis)

It’s how you can present yourself as the conquerer of an experience

(Never the victim)

While merging pain and your offer into the equation

This can also easily be done IP merging pain from sales call transcript, human knowledge IP and your offer IP easily enough

Give it a go 🎯

Happy shafting 😂",605,76,14,1183,90,https://www.instagram.com/p/DVJmsjHCB7z/
37,2026-03-02 08:39:11,Image,Genuinely interested…?,22,40,67,0,107,https://www.instagram.com/p/DVYCpUqCE6i/
38,2026-03-04 18:07:50,Video,"You are NOT behind (yet!)

85% population have never used it.

16% population using free chatbot.

0.3% paying AI subscriptions.

0.04% using AI at high level coding.

Red will destroy yellow.

Yellow will destroy green.

Green will destroy grey.

It’s down to you to see where you want to sit.

I would bet every single penny I have on the landscape of businesses being completely re-shaped in the next 6 months for positive and negative reasons.

You won’t be replaced by AI.

You will be replaced by people using it.",519,185,13,21750,198,https://www.instagram.com/p/DVeNQhECNE0/
39,2026-03-01 18:26:18,Sidecar,"The next level for @thecoachconsultant | @benhawksworth_ | @walktalkmensclub requires something different 

Slides have a full comprehensive breakdown of this test and decision 👍🏻",179,86,3,0,89,https://www.instagram.com/p/DVWhE9IiFiY/
40,2026-02-26 09:22:56,Video,"Do you genuinely still think AI is a choice?

While you are sat there debating whether to use it or not

Someone in your niche and market has built out entire new products, systems and x10 better positioning without the guess work

For the amount of time that I am taking to write this caption right now, someone could have generated 3 months worth of hyper targeted content

Businesses that will win from this point forwards are the ones that learn faster, fail faster and launch faster

Anyone waiting for the perfect time to start, will get left behind - there is no longer a middle ground with this

Your personal brand positioning is the ONLY thing that will separate you online in 2026 to fight against it

Your rate of processing and adoption to AI is the ONLY thing that will enable you to keep up 

AI WILL NOT REPLACE PEOPLE

It will replace people who aren’t using it to it’s maximum potential",904,188,16,31757,204,https://www.instagram.com/p/DVN0b23CCFn/
41,2026-02-27 16:45:13,Video,"Most people overlook the pot washer

That’s a mistake

In a restaurant, they’re the backbone

Without clean pots, nothing gets plated

Without plates, no food goes out

Without food going out, the whole place stops

A good pot washer has a system

Everything racked, stacked, timed to perfection

They know what the chefs need before they ask

That’s not a low skill job

That’s the engine room of the kitchen

Nothing should ever be beneath you

You do what needs doing, and you do it well

Pride isn’t about the title

It’s about the standard you hold yourself to

Watch the full post to hear more on this",607,42,1,1000,43,https://www.instagram.com/p/DVRHECwiNx5/
